day,state,suscetivel,exposto,infectadoA,infectadoS,recuperado
2020-09-10,SC,0.828809799629898,0.008144313960076026,0.0061839551975066505,0.0010342749819502713,0.15583148155552135
2020-09-11,SC,0.8266249858380631,0.00811942513706799,0.006172765175979322,0.0010323438152199384,0.15805430535862183
2020-09-12,SC,0.8244503238892275,0.008091553521302567,0.006159256325235659,0.0010300250320307359,0.16027266655715572
2020-09-13,SC,0.8222865742193813,0.008060743073887894,0.0061434505789289525,0.0010273223880871395,0.1624857350646668
2020-09-14,SC,0.8201344743671165,0.008027043164152575,0.006125374444740104,0.0010242404040008552,0.16469269294494207
2020-09-15,SC,0.8179947595010508,0.007990503681270274,0.006105054847973681,0.001020783669943609,0.1668927236247137
2020-09-16,SC,0.8158681345868839,0.0079511807583931,0.006082524011806764,0.0010169576597394649,0.16908502830812885
2020-09-17,SC,0.8137552905868908,0.007909133459014684,0.006057816636597504,0.0010127682604235562,0.17126881638202554
2020-09-18,SC,0.8116568976024247,0.007864424013576744,0.006030970305335432,0.0010082218392787584,0.17344331156433648
2020-09-19,SC,0.8095736010493282,0.007817118877266688,0.006002026333720179,0.0010033253857626347,0.17560775367887446
2020-09-20,SC,0.8075060324549748,0.007767286078464185,0.0059710274409155144,0.0009980861217245014,0.1777613932288731
2020-09-21,SC,0.8054547939844233,0.0077149978320575074,0.005938020059091732,0.0009925118862970982,0.1799035015630824
2020-09-22,SC,0.8034204801696144,0.007660326975070514,0.005903051200335941,0.000986610613903194,0.18203335636602813
2020-09-23,SC,0.8014036453441554,0.007603350806986327,0.005866171911098648,0.0009803909066239992,0.18415026635608778
2020-09-24,SC,0.7994048201161112,0.007544149865478193,0.0058274361341809295,0.000973861847850109,0.18625355736133176
2020-09-25,SC,0.7974245187800107,0.007482804519952694,0.005786898432622119,0.0009670326236879914,0.18834257096867868
2020-09-26,SC,0.7954632317177666,0.007419396812299575,0.005744615342795136,0.0009599127476168877,0.19041666870447407
2020-09-27,SC,0.7935214195634703,0.0073540118017162625,0.005700646241756707,0.0009525122043067329,0.19247523551370224
2020-09-28,SC,0.7915995249579046,0.007286734072704266,0.0056550502995947475,0.0009448409426345705,0.19451767505211406
2020-09-29,SC,0.789697964361037,0.007217650361634143,0.005607888924992977,0.0009369092827412863,0.19654341239454684
2020-09-30,SC,0.7878171290499546,0.007146848358230552,0.005559224421560825,0.0009287276854313282,0.19855189580977495
2020-10-01,SC,0.7859573854340144,0.0070744163592397265,0.005509119601783147,0.0009203066859753243,0.20054259724393966
2020-10-02,SC,0.78411907563495,0.007000443893104755,0.005457638718251554,0.0009116570571485325,0.2025150100214974
2020-10-03,SC,0.7823025175875744,0.0069250195921848525,0.005404846429674318,0.0009027896378923891,0.2044686520776263
2020-10-04,SC,0.780508004801562,0.006848232589717426,0.0053508083025423465,0.0008937154139798704,0.20640306421715066
2020-10-05,SC,0.7787358068816871,0.006770171728628482,0.005295590917135662,0.0008844455449689402,0.20831781025253218
2020-10-06,SC,0.7769861708453201,0.006690923244087756,0.005239261966040656,0.000874991403706495,0.21021247786579736
2020-10-07,SC,0.7752593195111537,0.006610574241814017,0.005181888470371174,0.0008653642286678825,0.2120866788729456
2020-10-08,SC,0.7735554514347223,0.006529213379707043,0.00512353573179539,0.000855574933213683,0.213940049845514
2020-10-09,SC,0.7718747422588648,0.006446928740816562,0.005064268517660799,0.0008456343301315086,0.21577225147747875
2020-10-10,SC,0.7702173448477783,0.006363807860746076,0.00500415098256521,0.000835553117858658,0.2175829685160042
2020-10-11,SC,0.7685833920140865,0.0062799338838811876,0.004943249557378576,0.0008253424257109908,0.21937190744389506
2020-10-12,SC,0.766972996301721,0.006195387852302414,0.00488163110474908,0.0008150134684999769,0.2211387965976799
2020-10-13,SC,0.7653862451092244,0.006110249762981351,0.004819361011539166,0.0008045772000575474,0.22288339224114995
2020-10-14,SC,0.7638232092713181,0.006024601140338957,0.004756501863527027,0.0007940440607866517,0.22460546898898162
2020-10-15,SC,0.7622839353720456,0.005938523940552028,0.0046931131067961115,0.000783423923160757,0.22630482898239784
2020-10-16,SC,0.7607684542410617,0.0058520931410305154,0.004629257969425504,0.000772727377269596,0.22798129259616504
2020-10-17,SC,0.7592767768298792,0.005765383464346085,0.004564997209991225,0.0007619645719453768,0.22963470324879057
2020-10-18,SC,0.7578088953999217,0.005678468608548001,0.00450038965838385,0.000751145316656205,0.23126492634144255
2020-10-19,SC,0.7563647847918459,0.005591419717811248,0.004435493400601065,0.0007402793034432158,0.23287184811125095
2020-10-20,SC,0.7549444028207594,0.005504305910175927,0.004370365198252532,0.0007293760004303768,0.2344553753953341
2020-10-21,SC,0.7535476907544127,0.0054171943053286445,0.004305060285187725,0.0007184446159968188,0.23601543536402633
2020-10-22,SC,0.7521745740556651,0.005330149772762309,0.004239632362355247,0.0007074941005198728,0.23755197503364975
2020-10-23,SC,0.7508249645195708,0.00524323549878011,0.004174133909661525,0.0006965331972690012,0.23906495819967089
2020-10-24,SC,0.7494987571742899,0.005156512277867835,0.004108615771218471,0.0006855703735695953,0.2405543697280065
2020-10-25,SC,0.7481958367557162,0.0050700382436791435,0.004043127282197445,0.000674613846901112,0.24202020919645842
2020-10-26,SC,0.7469160690191265,0.004983869094282947,0.003977716041381032,0.0006636715408022456,0.24346249962935956
2020-10-27,SC,0.7456593058774814,0.004898058167402595,0.003912428044090332,0.0006527511103337158,0.2448812821256442
2020-10-28,SC,0.7444253962233359,0.004812656833452788,0.0038473079603620003,0.0006418599950141077,0.24627660431278753
2020-10-29,SC,0.7432141723755447,0.004727713967486582,0.0037823987868335096,0.0006310053526290103,0.24764853484245858
2020-10-30,SC,0.7420254550038845,0.004643276231602696,0.003717741742059123,0.0006201940414139834,0.24899715830599198
2020-10-31,SC,0.7408590579927167,0.004559388510611002,0.0036533757628788664,0.0006094325299700598,0.2503225705287756
2020-11-01,SC,0.7397147824802938,0.004476093338966051,0.0035893382215678887,0.0005987270257641008,0.25162488425836044
2020-11-02,SC,0.7385924202377171,0.004393431202861941,0.003525664631075482,0.0005880834207839594,0.2529042258325138
2020-11-03,SC,0.7374917578968783,0.004311440895027454,0.00346238839014461,0.0005775072423967558,0.25416073090050517
2020-11-04,SC,0.7364125710002244,0.004230159018939063,0.003399541124649439,0.0005670037196340113,0.25539455046150533
2020-11-05,SC,0.7353546278727697,0.004149619797820892,0.0033371530001645748,0.0005565778413750611,0.25660584681282195
2020-11-06,SC,0.7343176938065752,0.0040698544599415,0.0032752534847920443,0.0005462344997647742,0.25779478907387876
2020-11-07,SC,0.7333015246694676,0.003990892233198693,0.00321387012605124,0.0005359782601730146,0.25896156003606163
2020-11-08,SC,0.7323058711249502,0.003912759679280304,0.003153029452522838,0.000525813530282882,0.260106351537916
2020-11-09,SC,0.7313304821863847,0.0038354801266145093,0.0030927577975019245,0.0005157447142524294,0.2612293605001986
2020-11-10,SC,0.7303750993094164,0.003759074613726747,0.003033079921365828,0.0005057759549027535,0.2623307955255405
2020-11-11,SC,0.7294394603360165,0.0036835606717350194,0.0029740204825999712,0.0004959114074891584,0.26341087242711153
2020-11-12,SC,0.7285232980783317,0.003608962187532271,0.00291559569003993,0.0004861536732823613,0.26446981569576583
2020-11-13,SC,0.727626338158812,0.0035353050111047264,0.0028578166828898206,0.0004765044350783896,0.2655078610370673
2020-11-14,SC,0.726748310009011,0.0034626008423192488,0.002800704364280028,0.0004669672299829982,0.2665252428793589
2020-11-15,SC,0.7258889374715076,0.003390865464590898,0.002744273012199539,0.0004575443870760017,0.267522204989578
